Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
2017-01-01 13:34:17,2017-01-01 13:36:34,137,Blue Island Ave & 18th St,Racine Ave & 18th St,Subscriber,Male,1990.0
2017-01-01 13:34:55,2017-01-01 13:37:13,138,Clark St & Randolph St,LaSalle St & Illinois St,Subscriber,Male,1988.0
2017-01-01 13:35:33,2017-01-01 13:41:05,332,Marion St & South Blvd,Ridgeland Ave & Lake St,Subscriber,Male,1963.0
2017-01-01 13:35:36,2017-01-01 13:47:42,726,Clark St & Leland Ave,Clarendon Ave & Gordon Ter,Subscriber,Male,1953.0
2017-01-01 13:36:42,2017-01-01 13:43:09,387,Clark St & Lake St,State St & Van Buren St,Subscriber,Male,1962.0
2017-01-01 13:37:05,2017-01-01 13:57:07,1202,Clark St & Berwyn Ave,Clark St & Wellington Ave,Subscriber,Male,1977.0
2017-01-01 13:37:45,2017-01-01 13:44:34,409,Halsted St & Wrightwood Ave,Bissell St & Armitage Ave,Subscriber,Male,1987.0
2017-01-01 13:38:05,2017-01-01 14:07:17,1752,Shedd Aquarium,Clark St & Schiller St,Subscriber,Female,1990.0
2017-01-01 13:38:18,2017-01-01 13:44:12,354,Larrabee St & Oak St,Kingsbury St & Erie St,Subscriber,Male,1981.0
2017-01-01 13:39:32,2017-01-01 13:42:24,172,Columbus Dr & Randolph St,Field Blvd & South Water St,Subscriber,Female,1983.0
2017-01-01 13:39:47,2017-01-01 13:54:04,857,Broadway & Thorndale Ave,Sheridan Rd & Irving Park Rd,Subscriber,Male,1960.0
2017-01-01 13:39:52,2017-01-01 13:44:35,283,Rush St & Superior St,Clark St & Elm St,Subscriber,Female,1960.0
2017-01-01 13:39:59,2017-01-01 13:49:05,546,Milwaukee Ave & Grand Ave,Clark St & Elm St,Subscriber,Male,1990.0
2017-01-01 13:40:17,2017-01-01 13:42:45,148,Racine Ave & Randolph St,Racine Ave & Randolph St,Subscriber,Male,1982.0
2017-01-01 13:41:43,2017-01-01 13:59:40,1077,Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,Subscriber,Male,1986.0
2017-01-01 13:41:48,2017-01-01 14:00:13,1105,Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,Subscriber,Female,1988.0
2017-01-01 13:42:12,2017-01-01 13:44:48,156,Racine Ave & Fullerton Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1994.0
2017-01-01 13:42:26,2017-01-01 13:52:11,585,California Ave & Altgeld St,Drake Ave & Fullerton Ave,Subscriber,Female,1971.0
2017-01-01 13:42:33,2017-01-01 13:48:12,339,Halsted St & Dickens Ave,Wells St & Concord Ln,Subscriber,Male,1991.0
2017-01-01 13:42:33,2017-01-01 13:46:26,233,Halsted St & Willow St,Halsted St & Blackhawk St (*),Subscriber,Male,1993.0
2017-01-01 13:42:53,2017-01-01 13:59:17,984,Dusable Harbor,Michigan Ave & Oak St,Customer,,
2017-01-01 13:43:00,2017-01-01 13:54:55,715,Kedzie Ave & Palmer Ct,Kedzie Ave & Palmer Ct,Subscriber,Female,1984.0
2017-01-01 13:43:09,2017-01-01 14:01:21,1092,Lake Shore Dr & Belmont Ave,Clarendon Ave & Junior Ter,Subscriber,Female,1985.0
2017-01-01 13:43:12,2017-01-01 14:04:24,1272,Central Ave & Chicago Ave,Kedzie Ave & Chicago Ave,Subscriber,Male,1952.0
2017-01-01 13:43:21,2017-01-01 13:59:24,963,Dusable Harbor,Michigan Ave & Oak St,Customer,,
2017-01-01 13:43:29,2017-01-01 13:46:41,192,Field Blvd & South Water St,Dusable Harbor,Subscriber,Female,1983.0
2017-01-01 13:43:42,2017-01-01 14:01:21,1059,Lake Shore Dr & Belmont Ave,Clarendon Ave & Junior Ter,Subscriber,Male,1983.0
2017-01-01 13:44:36,2017-01-01 14:05:24,1248,Lake Shore Dr & North Blvd,Ashland Ave & Chicago Ave,Subscriber,Female,1991.0
2017-01-01 13:45:06,2017-01-01 13:50:48,342,Rush St & Cedar St,Michigan Ave & Pearson St,Subscriber,Male,1986.0
2017-01-01 13:45:15,2017-01-01 13:51:34,379,Ada St & Washington Blvd,Peoria St & Jackson Blvd,Subscriber,Male,1989.0
2017-01-01 13:45:50,2017-01-01 14:06:53,1263,Campbell Ave & Fullerton Ave,Damen Ave & Cortland St,Customer,,
2017-01-01 13:45:56,2017-01-01 13:50:59,303,Damen Ave & Chicago Ave,Wood St & Division St,Subscriber,Male,1975.0
2017-01-01 13:46:11,2017-01-01 14:13:41,1650,Ashland Ave & Wellington Ave,Ravenswood Ave & Balmoral Ave,Subscriber,Female,1963.0
2017-01-01 13:46:21,2017-01-01 14:11:46,1525,Lakefront Trail & Bryn Mawr Ave,Halsted St & Roscoe St,Subscriber,Male,1987.0
2017-01-01 13:46:39,2017-01-01 14:05:17,1118,Millennium Park,Calumet Ave & 18th St,Subscriber,Male,1982.0
2017-01-01 13:46:45,2017-01-01 15:29:59,6194,Field Museum,Field Museum,Customer,,
2017-01-01 13:47:52,2017-01-01 14:06:47,1135,Loomis St & Jackson Blvd,Wabash Ave & Roosevelt Rd,Subscriber,Male,1991.0
2017-01-01 13:47:55,2017-01-01 14:12:15,1460,MLK Jr Dr & 29th St,Burnham Harbor,Subscriber,Male,1994.0
2017-01-01 13:48:25,2017-01-01 14:12:24,1439,MLK Jr Dr & 29th St,Burnham Harbor,Subscriber,Male,1991.0
2017-01-01 13:48:33,2017-01-01 13:50:46,133,Halsted St & Dickens Ave,Sheffield Ave & Webster Ave,Subscriber,Female,1990.0
2017-01-01 13:48:40,2017-01-01 13:50:41,121,Clark St & Congress Pkwy,Dearborn St & Adams St,Subscriber,Male,1980.0
2017-01-01 13:49:09,2017-01-01 14:04:45,936,Ogden Ave & Roosevelt Rd,Halsted St & Roosevelt Rd,Subscriber,Male,1992.0
2017-01-01 13:49:19,2017-01-01 14:06:48,1049,Campbell Ave & Fullerton Ave,Damen Ave & Cortland St,Customer,,
2017-01-01 13:50:16,2017-01-01 14:00:46,630,Marshfield Ave & Cortland St,Clark St & Armitage Ave,Subscriber,Male,1956.0
2017-01-01 13:50:50,2017-01-01 13:59:41,531,Clark St & Elm St,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1985.0
2017-01-01 13:50:51,2017-01-01 13:59:33,522,Clark St & Elm St,Mies van der Rohe Way & Chestnut St,Subscriber,Male,1990.0
2017-01-01 13:51:40,2017-01-01 14:01:12,572,Broadway & Barry Ave,Southport Ave & Roscoe St,Subscriber,Male,1996.0
2017-01-01 13:52:20,2017-01-01 13:54:19,119,Clybourn Ave & Division St,Larrabee St & Division St,Subscriber,Male,1986.0
2017-01-01 13:52:21,2017-01-01 14:50:03,3462,Carpenter St & Huron St,MLK Jr Dr & 47th St,Customer,,
2017-01-01 13:56:17,2017-01-01 14:16:01,1184,Lake Shore Dr & North Blvd,Wabash Ave & Grand Ave,Subscriber,Male,1990.0
2017-01-01 13:56:20,2017-01-01 14:23:45,1645,Orleans St & Merchandise Mart Plaza,Greenview Ave & Fullerton Ave,Customer,,
2017-01-01 13:56:43,2017-01-01 14:06:15,572,Kimball Ave & Belmont Ave,Richmond St & Diversey Ave,Subscriber,Female,1982.0
2017-01-01 13:56:49,2017-01-01 14:06:07,558,McClurg Ct & Illinois St,Kingsbury St & Kinzie St,Subscriber,Male,1985.0
2017-01-01 13:57:08,2017-01-01 14:00:58,230,Fairbanks Ct & Grand Ave,McClurg Ct & Illinois St,Subscriber,Male,1960.0
2017-01-01 13:57:11,2017-01-01 14:06:07,536,McClurg Ct & Illinois St,Kingsbury St & Kinzie St,Subscriber,Female,1984.0
2017-01-01 13:57:17,2017-01-01 14:03:26,369,Racine Ave & Wrightwood Ave,Clark St & Wrightwood Ave,Subscriber,Male,1990.0
2017-01-01 13:57:21,2017-01-01 14:23:19,1558,Larrabee St & Armitage Ave,Ogden Ave & Race Ave,Subscriber,Female,1982.0
2017-01-01 13:57:23,2017-01-01 14:02:54,331,Clinton St & Madison St,Aberdeen St & Monroe St,Subscriber,Male,1986.0
2017-01-01 13:57:42,2017-01-01 14:08:05,623,Damen Ave & Cortland St,Ashland Ave & Division St,Subscriber,Male,1989.0
2017-01-01 13:58:18,2017-01-01 14:28:26,1808,Clark St & Bryn Mawr Ave,Leavitt St & Addison St,Subscriber,Male,1980.0
2017-01-01 13:58:33,2017-01-01 14:28:31,1798,Clark St & Bryn Mawr Ave,Leavitt St & Addison St,Subscriber,Female,1972.0
2017-01-01 13:59:15,2017-01-01 14:07:09,474,Kimbark Ave & 53rd St,University Ave & 57th St,Subscriber,Male,1988.0
2017-01-01 14:00:07,2017-01-01 16:59:10,10743,Wacker Dr & Washington St,State St & Randolph St,Customer,,
2017-01-01 14:00:24,2017-01-01 16:58:54,10710,Wacker Dr & Washington St,State St & Randolph St,Customer,,
2017-01-01 14:00:55,2017-01-01 14:11:09,614,Theater on the Lake,Sheffield Ave & Fullerton Ave,Subscriber,Male,1960.0
2017-01-01 14:01:08,2017-01-01 14:19:18,1090,Kedzie Ave & Palmer Ct,Marshfield Ave & Cortland St,Subscriber,Female,1984.0
2017-01-01 14:02:17,2017-01-01 14:07:28,311,Broadway & Belmont Ave,Broadway & Waveland Ave,Subscriber,Female,1987.0
2017-01-01 14:02:19,2017-01-01 14:10:15,476,Franklin St & Chicago Ave,Mies van der Rohe Way & Chicago Ave,Subscriber,Male,1969.0
2017-01-01 14:03:19,2017-01-01 14:13:23,604,Green St & Madison St,Loomis St & Lexington St,Subscriber,Male,1989.0
2017-01-01 14:03:33,2017-01-01 14:42:58,2365,Clark St & Elm St,Clark St & Elm St,Subscriber,Male,1990.0
